Date,IV30,IV30 20-Day MA,OHLC 20-Day Vol,OHLC 52-Week Vol,Options Volume
6/26/2024,19.52,20.964,24.3545,20.4603,1309461
6/25/2024,19.06,20.9745,24.4895,19.9183,778788
6/24/2024,19.71,20.9655,24.1826,19.8511,1304092
6/21/2024,19.93,20.953,23.3874,19.7699,1504179
6/20/2024,21.56,20.878,22.4697,19.6749,1716349
6/18/2024,22.52,20.692,22.072,20.1893,1591326
6/17/2024,21.77,20.4525,21.4063,19.5793,2164364
6/14/2024,21.13,20.273,21.3038,19.5713,1906190
6/13/2024,22.15,20.129,20.6598,19.4953,2418300
6/12/2024,22.84,19.9145,18.3809,19.8207,6248386
6/11/2024,20.77,19.681,16.4316,19.0187,4410056
6/10/2024,19.35,19.56,15.3421,18.9557,1684259
6/7/2024,21.02,19.4235,15.5351,18.9616,925797
6/6/2024,21.27,19.1845,15.4337,18.9673,653247
6/5/2024,21.07,18.969,16.2183,19.64,954697
6/4/2024,20.99,18.7665,16.3427,19.1077,629836
6/3/2024,21.1,18.6105,17.7421,19.1456,1032967
5/31/2024,21,18.46,19.7473,19.1609,970905
5/30/2024,21.87,18.7695,19.8534,19.1808,699516
5/29/2024,20.65,19.097,20.9851,19.716,789498
5/28/2024,19.73,19.471,19.674,19.1523,821716
5/24/2024,18.88,19.821,19.5715,19.1264,821300
5/23/2024,19.46,20.211,18.6425,19.0499,893871
5/22/2024,18.43,20.6015,21.506,19.5776,626563
5/21/2024,17.84,21.004,18.813,19.0475,628245
5/20/2024,17.73,21.414,18.8072,19.0565,692799
5/17/2024,18.18,21.853,19.6144,19.0681,841740
5/16/2024,18.25,22.372,20.4604,19.067,726752
5/15/2024,17.86,22.8535,21.8734,19.5839,1069839
5/14/2024,18.17,23.3605,22.4252,19.0594,629082
5/13/2024,18.35,23.8455,22.1066,19.0311,1043703
